date,open,low,high,close,volume
2023-07-19 10:31:00,2.99,2.99,2.99,2.99,100
2023-07-19 10:27:00,2.9999,2.9999,2.9999,2.9999,125
2023-07-19 10:26:00,2.9875,2.9875,2.9875,2.9875,100
2023-07-19 10:25:00,2.9944,2.9888,2.998,2.998,1000
2023-07-19 10:24:00,2.9507,2.9507,2.9507,2.9507,500
2023-07-19 10:19:00,2.9201,2.9201,2.9201,2.9201,2000
2023-07-19 10:15:00,2.96,2.96,2.96,2.96,200
2023-07-19 09:59:00,2.99,2.99,2.99,2.99,1921
2023-07-19 09:46:00,2.93,2.92,2.93,2.92,594
2023-07-19 09:44:00,3.05,3.05,3.05,3.05,100
2023-07-19 09:40:00,3.03,3.03,3.03,3.03,100
2023-07-19 09:31:00,2.91,2.91,3.0775,3.0775,436
2023-07-19 09:30:00,2.88,2.88,2.88,2.88,1400
2023-07-20 15:58:00,2.9999,2.96,2.9999,2.96,210
2023-07-20 15:57:00,2.95,2.95,2.95,2.95,100
2023-07-20 15:56:00,2.96,2.96,2.975,2.96,310
2023-07-20 15:55:00,2.98,2.98,2.98,2.98,150
2023-07-20 15:50:00,2.99,2.99,2.99,2.99,511
2023-07-20 15:47:00,2.985,2.985,2.985,2.985,100
2023-07-20 15:41:00,2.975,2.975,2.975,2.975,250
2023-07-20 15:39:00,2.97,2.97,2.97,2.97,134
2023-07-20 15:38:00,2.96,2.96,2.97,2.97,1000
2023-07-20 15:36:00,2.9686,2.9686,2.9686,2.9686,110
2023-07-20 15:33:00,2.94,2.94,2.94,2.94,116
2023-07-20 15:30:00,2.97,2.97,2.97,2.97,110
2023-07-20 15:26:00,2.94,2.94,2.94,2.94,100
2023-07-20 15:18:00,2.955,2.955,2.955,2.955,100
2023-07-20 15:10:00,2.94,2.94,2.9657,2.9657,200
2023-07-20 15:01:00,2.94,2.94,2.94,2.94,100
2023-07-20 14:43:00,2.97,2.955,2.97,2.96,300
2023-07-20 14:38:00,2.97,2.97,2.97,2.97,100
2023-07-20 14:27:00,2.97,2.97,2.97,2.97,100
2023-07-20 14:18:00,2.94,2.94,2.97,2.97,210
2023-07-20 14:03:00,2.99,2.98,2.99,2.98,600
2023-07-20 14:02:00,2.99,2.97,2.99,2.98,600
2023-07-20 13:57:00,2.9685,2.9685,2.9685,2.9685,110
2023-07-20 13:56:00,2.9888,2.94,2.9888,2.94,210
2023-07-20 13:54:00,2.94,2.94,2.94,2.94,100
2023-07-20 13:28:00,2.97,2.97,3.0,3.0,1500
2023-07-20 13:20:00,2.97,2.97,2.97,2.97,110
2023-07-20 13:17:00,2.94,2.94,2.94,2.94,100
2023-07-20 13:11:00,2.9999,2.9999,2.9999,2.9999,110
2023-07-20 13:07:00,2.99,2.93,3.0,2.93,1640
2023-07-20 13:06:00,3.02,3.02,3.02,3.02,500
2023-07-20 13:00:00,3.06,2.95,3.06,2.95,1195
2023-07-20 12:59:00,2.95,2.925,2.98,2.93,1500
2023-07-20 12:58:00,2.9601,2.95,2.9601,2.9501,2354
2023-07-20 12:57:00,2.97,2.97,2.97,2.97,400
2023-07-20 12:53:00,3.0,3.0,3.0,3.0,330
2023-07-20 12:52:00,3.01,3.01,3.01,3.01,270
2023-07-20 12:41:00,3.0617,3.0617,3.0617,3.0617,250
2023-07-20 12:40:00,3.0531,3.01,3.0531,3.01,450
2023-07-20 12:39:00,3.03,3.0,3.03,3.0,10200
2023-07-20 12:29:00,3.03,3.03,3.03,3.03,100
2023-07-20 12:25:00,3.08,3.08,3.08,3.08,250
2023-07-20 12:17:00,3.03,3.03,3.03,3.03,100
2023-07-20 12:08:00,3.0512,3.0512,3.0512,3.0512,100
2023-07-20 12:06:00,3.04,3.04,3.1,3.1,300
2023-07-20 12:02:00,3.1,3.1,3.1,3.1,200
2023-07-20 12:01:00,3.04,3.04,3.04,3.04,100
2023-07-20 11:55:00,3.04,3.04,3.04,3.04,100
2023-07-20 11:49:00,3.06,3.06,3.06,3.06,200
2023-07-20 11:47:00,3.1,3.1,3.1,3.1,200
2023-07-20 11:45:00,3.05,3.05,3.05,3.05,400
2023-07-20 11:38:00,3.1,3.1,3.1,3.1,200
2023-07-20 11:35:00,3.05,3.05,3.05,3.05,100
2023-07-20 11:15:00,3.06,3.06,3.1,3.1,700
2023-07-20 11:14:00,3.05,3.05,3.06,3.06,1000
2023-07-20 11:07:00,3.04,3.04,3.04,3.04,100
2023-07-20 11:02:00,3.0991,3.0991,3.0991,3.0991,200
2023-07-20 10:58:00,3.04,3.04,3.04,3.04,100
2023-07-20 10:57:00,3.0727,3.0727,3.0727,3.0727,314
2023-07-20 10:55:00,3.1,3.1,3.1,3.1,409
2023-07-20 10:50:00,3.06,3.06,3.1381,3.1381,300
2023-07-20 10:41:00,3.11,3.11,3.11,3.11,225
2023-07-20 10:28:00,3.1,3.1,3.1,3.1,500
2023-07-20 10:25:00,3.09,3.09,3.09,3.09,1120
2023-07-20 10:23:00,3.1,3.1,3.1,3.1,100
2023-07-20 10:20:00,3.0771,3.0771,3.0771,3.0771,309
2023-07-20 10:18:00,3.05,3.04,3.05,3.04,600
2023-07-20 10:00:00,3.09,3.09,3.09,3.09,101
2023-07-20 09:53:00,3.03,3.03,3.0995,3.0995,800
2023-07-20 09:43:00,3.1,3.1,3.1,3.1,500
2023-07-20 09:37:00,3.1241,3.06,3.1241,3.06,600
2023-07-20 09:36:00,3.05,3.05,3.05,3.05,400
2023-07-20 09:35:00,3.05,3.0,3.05,3.0,2566
2023-07-20 09:30:00,3.06,3.06,3.06,3.06,366
2023-07-21 15:59:00,3.0,3.0,3.0,3.0,118
2023-07-21 15:51:00,3.0199,3.0199,3.0199,3.0199,110
2023-07-21 15:50:00,2.97,2.96,2.97,2.96,963
2023-07-21 15:41:00,2.99,2.99,2.99,2.99,209
2023-07-21 15:40:00,2.962,2.96,2.9627,2.96,2100
2023-07-21 15:22:00,2.97,2.97,2.99,2.99,3993
2023-07-21 15:18:00,2.99,2.95,2.99,2.95,1100
2023-07-21 14:54:00,2.9964,2.9964,2.9964,2.9964,150
2023-07-21 14:05:00,3.06,3.06,3.06,3.06,289
2023-07-21 13:45:00,3.06,3.06,3.06,3.06,110
2023-07-21 13:43:00,2.9565,2.9565,2.9565,2.9565,700
2023-07-21 13:30:00,3.06,3.06,3.06,3.06,2860
2023-07-21 13:01:00,3.01,3.01,3.01,3.01,300
